"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "PostCSS", "MySQL SQL", "comment", "blank", "total"
"d:\ITU\FinanSchool\FinanSchool\Backend\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 11, 8, 39
"d:\ITU\FinanSchool\FinanSchool\Backend\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 160, 35, 218
"d:\ITU\FinanSchool\FinanSchool\Backend\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 14, 6, 45
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 6, 6, 50
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 6, 5, 36
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 6, 6, 58
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_08_075701_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 5, 30
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_08_115513_create_email_verifications_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 5, 31
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_09_094927_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_11_082029_create_errors_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_18_071646_create_classes_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
